연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,13057,0.465,10,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198,5,4.79,144,67,77,32,65,0.465,1273.0,1371,143,572,98,979,739,678,1.53,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4,9,144,84,14,3819,1537,148,0.985,6,140,56,28.6,8635,710141
2016,12045,0.486,9,0.286,144,5696,4999,803,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.81,144,0.288,0.286,5,4.97,144,70,73,38,74,0.49,1276.0,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.29,230,23,75,54,18,69,7,7,144,111,10,3828,1441,139,0.979,4,136,49,26.5,12243,773499
2017,10462,0.604,1,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56,499,19,89,891,117,0.469,0.37,0.839,144,0.324,0.254,5,4.79,144,87,56,33,46,0.608,1290.0,1518,137,434,77,985,743,687,1.51,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,1,144,98,4,3870,1498,153,0.982,12,69,45,39.5,16989,1024830
2018,11722,0.486,2,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207,9,5.4,144,70,74,26,43,0.486,,1511,181,445,69,1017,826,763,1.54,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,8,144,94,8,3812,1371,127,0.982,11,95,40,29.6,20120,861729
2019,10742,0.431,6,0.264,144,5505,4874,605,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.19,8,4.65,144,62,80,30,64,0.437,1264.0,1362,101,504,76,976,723,653,1.48,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,10,144,110,5,3792,1381,126,0.979,9,116,50,30.1,17820,692163
2020,10675,0.507,6,0.274,144,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,8,5.13,144,73,71,33,79,0.507,1270.0,1399,120,559,70,1038,795,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,8,144,100,7,3810,1480,169,0.981,10,82,46,35.9,14657,21198
2021,9739,0.403,9,0.248,144,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203,9,4.89,144,58,76,36,94,0.433,1269.0,1286,134,622,104,951,752,690,1.5,1,6,39,16,5701,22375,0.265,214,16,58,63,5,59,9,5,144,110,9,3807,1368,139,0.979,10,92,43,31.9,9030,104989
2022,10222,0.486,1,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219,6,4.2,144,70,73,38,74,0.49,,1286,120,526,67,1042,679,597,1.42,0,7,64,18,5636,21803,0.261,233,22,75,45,20,56,2,8,144,107,5,3839,1378,111,0.98,8,64,41,39.0,13769,604394
2023,10084,0.507,2,0.276,144,5607,4954,726,1365,224,21,101,1934,673,63,44,500,15,46,957,115,0.39,0.345,0.735,144,0.3,0.285,5,4.13,144,73,69,33,66,0.514,1269.0,1244,89,564,59,980,650,583,1.42,1,8,46,10,5558,21710,0.258,220,25,67,45,20,55,4,10,144,102,10,3807,1356,137,0.981,12,98,35,26.3,11747,717025
2024,9291,0.604,1,0.301,144,5812,5124,858,1542,266,28,163,2353,812,45,53,529,18,59,915,119,0.459,0.369,0.828,144,0.308,0.34,1,4.4,144,87,55,44,89,0.613,1288.0,1365,141,539,85,1125,759,629,1.48,4,7,40,20,5771,22472,0.269,238,20,33,34,13,51,3,1,144,146,7,3864,1400,133,0.973,10,108,31,22.3,14164,1259249
