연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,10224,0.361,6,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267,10,5.56,144,52,91,16,31,0.364,,1518,154,577,87,1046,875,782,1.65,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4,10,144,118,14,3800,1530,159,0.978,6,139,64,31.5,5273,645456
2016,8499,0.368,10,0.276,144,5620,4963,672,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.22,10,5.92,144,53,89,27,48,0.373,1273.0,1593,145,560,84,980,927,838,1.69,1,2,38,15,5896,23328,0.31,315,38,73,45,9,77,9,9,144,130,5,3819,1550,151,0.976,11,115,55,32.4,8369,682444
2017,8260,0.347,9,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239,9,5.75,144,50,94,22,41,0.347,1256.0,1524,174,433,95,913,876,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,10,144,112,6,3768,1460,134,0.979,10,109,43,28.3,7347,686541
2018,9274,0.41,9,0.275,144,5605,5026,757,1382,264,13,206,2290,721,43,26,464,14,46,1109,103,0.456,0.34,0.796,144,0.273,0.262,7,5.34,144,59,82,24,45,0.418,,1580,194,409,84,1025,834,756,1.56,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,6,144,99,9,3823,1502,161,0.982,21,99,42,29.8,10559,668559
2019,9731,0.493,4,0.277,144,5582,4965,650,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.27,0.218,6,4.29,144,71,71,37,59,0.5,1277.0,1303,118,481,61,848,661,608,1.4,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,6,144,102,7,3831,1479,137,0.981,15,90,43,32.3,9522,536735
2020,9221,0.562,3,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,4,4.54,144,81,62,33,71,0.566,,1357,118,523,59,848,715,651,1.46,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,3,144,102,4,3871,1486,154,0.981,10,75,21,21.9,10040,22499
2021,9454,0.528,4,0.265,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.271,0.227,2,3.67,144,76,59,33,74,0.563,1264.0,1176,86,489,42,1062,584,515,1.32,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1,6,144,112,7,3792,1466,133,0.979,7,93,31,25.0,10711,74189
2022,9289,0.556,8,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,144,0.239,0.232,2,3.51,144,80,62,37,65,0.563,,1243,92,364,63,1074,562,502,1.25,1,8,81,13,5405,20356,0.254,188,19,54,38,22,43,3,4,144,97,13,3862,1425,132,0.982,8,69,26,27.4,12847,532268
2023,7416,0.549,4,0.265,144,5649,4973,672,1316,235,14,89,1846,621,57,47,524,13,48,1074,96,0.371,0.338,0.709,143,0.276,0.244,4,3.94,144,79,62,39,61,0.56,1287.0,1326,83,413,50,968,616,564,1.35,0,12,64,14,5542,20672,0.268,213,22,81,54,22,63,4,5,144,99,16,3861,1354,117,0.981,3,111,23,17.2,15700,697350
2024,8267,0.5,4,0.279,144,5808,5072,767,1413,234,16,145,2114,722,62,45,580,18,49,1123,112,0.417,0.355,0.772,144,0.277,0.223,8,5.11,144,72,70,28,50,0.507,,1448,155,443,65,1118,804,729,1.47,0,5,48,18,5721,21723,0.284,259,35,49,65,22,57,5,2,144,116,10,3853,1279,110,0.978,14,142,38,21.1,17038,843942
