Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),사직,KT,9,12,롯데,2015,패,승,1,0,1.0,0.0
03.29(일),사직,KT,4,5,롯데,2015,패,승,2,0,1.0,0.0
03.31(화),수원,삼성,8,6,KT,2015,승,패,2,1,0.6666666666666666,379.0
04.01(수),수원,삼성,5,1,KT,2015,승,패,2,2,0.5,379.0
04.03(금),수원,KIA,5,0,KT,2015,승,패,2,3,0.4,379.0
04.04(토),수원,KIA,10,2,KT,2015,승,패,2,4,0.3333333333333333,379.0
04.05(일),수원,KIA,4,1,KT,2015,승,패,2,5,0.2857142857142857,379.0
04.07(화),문학,KT,2,3,SSG,2015,패,승,3,5,0.375,422.0
04.08(수),문학,KT,1,2,SSG,2015,패,승,4,5,0.4444444444444444,422.0
04.09(목),문학,KT,2,13,SSG,2015,패,승,5,5,0.5,422.0
04.10(금),고척,KT,0,6,키움,2015,패,승,6,5,0.5454545454545454,446.0
04.11(토),고척,KT,6,4,키움,2015,승,패,6,6,0.5,446.0
04.12(일),고척,KT,5,3,키움,2015,승,패,6,7,0.4615384615384615,446.0
04.14(화),수원,두산,18,2,KT,2015,승,패,6,8,0.4285714285714285,479.0
04.15(수),수원,두산,7,6,KT,2015,승,패,6,9,0.4,479.0
04.17(금),대구,KT,1,6,삼성,2015,패,승,7,9,0.4375,714.0
04.18(토),대구,KT,1,3,삼성,2015,패,승,8,9,0.4705882352941176,714.0
04.21(화),수원,SSG,9,3,KT,2015,승,패,8,10,0.4444444444444444,949.0
04.22(수),수원,SSG,0,2,KT,2015,패,승,9,10,0.4736842105263157,949.0
04.23(목),수원,SSG,3,2,KT,2015,승,패,9,11,0.45,949.0
04.24(금),수원,키움,9,2,KT,2015,승,패,9,12,0.4285714285714285,949.0
04.25(토),수원,키움,3,0,KT,2015,승,패,9,13,0.4090909090909091,949.0
04.26(일),수원,키움,11,4,KT,2015,승,패,9,14,0.391304347826087,949.0
04.28(화),잠실,KT,2,6,두산,2015,패,승,10,14,0.4166666666666667,985.0
04.30(목),잠실,KT,3,4,두산,2015,패,승,11,14,0.44,985.0
05.01(금),수원,NC,4,2,KT,2015,승,패,11,15,0.4230769230769231,1021.0
05.02(토),수원,NC,12,2,KT,2015,승,패,11,16,0.4074074074074074,1021.0
05.03(일),수원,NC,11,2,KT,2015,승,패,11,17,0.3928571428571428,1021.0
05.05(화),대전,KT,8,15,한화,2015,패,승,12,17,0.4137931034482758,1170.0
05.06(수),대전,KT,8,5,한화,2015,승,패,12,18,0.4,1170.0
05.07(목),대전,KT,7,6,한화,2015,승,패,12,19,0.3870967741935484,1170.0
05.08(금),수원,LG,3,7,KT,2015,패,승,13,19,0.40625,1319.0
05.09(토),수원,LG,2,3,KT,2015,패,승,14,19,0.4242424242424242,1319.0
05.10(일),수원,LG,6,2,KT,2015,승,패,14,20,0.4117647058823529,1319.0
05.12(화),광주,KT,2,3,KIA,2015,패,승,15,20,0.4285714285714285,1559.0
05.13(수),광주,KT,8,9,KIA,2015,패,승,16,20,0.4444444444444444,1559.0
05.14(목),광주,KT,2,10,KIA,2015,패,승,17,20,0.4594594594594595,1559.0
05.15(금),수원,롯데,11,10,KT,2015,승,패,17,21,0.4473684210526316,1799.0
05.16(토),수원,롯데,10,1,KT,2015,승,패,17,22,0.4358974358974359,1799.0
05.17(일),수원,롯데,6,2,KT,2015,승,패,17,23,0.425,1799.0
05.19(화),창원,KT,4,2,NC,2015,승,패,17,24,0.4146341463414634,2144.0
