연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,9997,0.444,9,0.269,144,5599,4941,653,1331,252,22,114,1969,601,75,41,462,18,80,1076,98,0.399,0.339,0.738,144,0.245,0.218,2,4.62,144,64,78,25,44,0.451,,1352,125,490,98,1063,721,657,1.44,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3,5,144,103,14,3839,1608,162,0.981,8,127,52,29.1,13196,1053450
2016,10323,0.493,6,0.29,144,5765,5051,786,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236,6,5.04,144,71,71,34,75,0.5,,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,2,144,103,12,3863,1580,139,0.981,9,80,49,38.0,12626,1157646
2017,10220,0.479,7,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217,1,4.3,144,69,72,32,66,0.489,1279.0,1305,124,379,102,1040,677,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,6,144,103,12,3837,1434,127,0.981,9,62,37,37.4,12719,1134846
2018,8018,0.472,3,0.293,144,5665,5070,788,1487,299,12,148,2254,740,51,51,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245,6,5.29,144,68,75,29,43,0.476,,1434,159,453,89,1058,816,746,1.49,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,9,144,100,7,3806,1404,121,0.981,10,100,41,29.1,15829,1108677
2019,10111,0.549,5,0.267,144,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,4,3.86,144,79,64,43,62,0.552,,1257,89,499,91,953,633,551,1.37,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,4,144,95,6,3850,1507,139,0.983,7,115,41,26.3,13486,1000400
2020,9911,0.549,4,0.277,144,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,2,4.37,144,79,61,29,67,0.564,,1344,123,493,86,1019,694,627,1.42,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,2,144,80,6,3878,1460,156,0.985,9,89,36,28.8,16148,41317
2021,8769,0.5,8,0.25,144,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.252,0.27,1,3.57,144,72,58,32,81,0.554,,1126,80,545,98,1068,561,505,1.31,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5,2,144,91,4,3817,1481,147,0.983,12,98,40,29.0,12898,116691
2022,10300,0.604,3,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236,1,3.33,144,87,55,43,107,0.613,1288.0,1179,94,451,59,1031,521,476,1.27,0,16,59,15,5432,20918,0.245,166,34,56,46,27,49,0,3,144,89,6,3864,1394,139,0.983,7,113,26,18.7,14379,930163
2023,10224,0.597,1,0.279,144,5687,4881,767,1364,227,27,93,1924,714,94,55,583,16,73,804,89,0.394,0.361,0.755,144,0.298,0.217,1,3.67,144,86,56,37,92,0.606,,1266,74,491,76,977,610,527,1.36,0,9,50,18,5619,21814,0.256,215,17,64,42,15,47,5,1,144,128,8,3880,1341,131,0.976,10,115,30,20.7,14616,1202637
2024,9208,0.528,3,0.283,144,5725,4919,808,1394,238,29,115,2035,765,46,73,616,18,71,969,98,0.414,0.366,0.78,143,0.284,0.259,2,4.63,144,76,66,34,65,0.535,1277.0,1375,126,529,80,1082,728,657,1.49,2,6,58,20,5696,22197,0.276,219,11,49,57,10,68,4,6,144,102,5,3831,1348,135,0.981,10,126,40,24.1,19009,1397499
