연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,12047,0.583,4,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53,536,25,106,1023,105,0.455,0.367,0.822,144,0.293,0.28,1,4.26,144,84,57,37,55,0.596,,1283,149,436,113,1057,655,605,1.34,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3,7,144,83,3,3838,1460,133,0.985,5,85,37,30.3,8350,522669
2016,11759,0.576,5,0.291,144,5833,5007,857,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239,2,4.48,144,83,58,36,62,0.589,,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,4,144,100,4,3859,1430,136,0.981,3,70,43,38.1,12150,549125
2017,10555,0.549,3,0.293,144,5790,5079,786,1489,277,19,149,2251,739,62,48,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249,4,4.71,144,79,62,32,51,0.56,,1342,169,470,93,1097,745,673,1.41,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,4,144,108,4,3854,1432,134,0.98,4,64,42,39.6,12648,531121
2018,11313,0.403,10,0.261,144,5488,4895,660,1280,233,18,143,1978,629,35,43,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284,10,5.48,144,58,85,24,51,0.406,1264.0,1443,186,537,68,1010,844,769,1.57,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,10,144,107,7,3792,1401,141,0.98,19,86,46,34.8,10678,442872
2019,11037,0.507,2,0.278,144,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179,5,4.01,144,73,69,32,68,0.514,,1285,103,483,92,991,631,572,1.38,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,2,144,95,6,3853,1477,130,0.982,4,64,49,43.4,16576,710274
2020,9790,0.576,2,0.291,144,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.286,5,4.58,144,83,55,31,88,0.601,,1292,153,547,79,1049,714,660,1.42,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7,1,144,87,9,3890,1294,120,0.983,10,49,42,46.2,16581,45992
2021,11058,0.465,6,0.261,144,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.26,0.224,6,4.54,144,67,68,33,80,0.496,,1268,125,592,77,1055,697,634,1.48,3,10,53,18,5622,22346,0.26,231,15,34,41,14,75,8,10,144,111,4,3770,1292,105,0.979,5,84,40,32.3,14898,128289
2022,10474,0.465,5,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233,5,3.9,144,67,74,25,54,0.475,,1230,111,515,98,1168,642,557,1.36,0,11,58,15,5604,22069,0.252,218,18,60,42,10,80,5,6,144,127,4,3860,1360,115,0.976,9,60,42,41.2,18853,369018
2023,10277,0.521,3,0.27,144,5606,4895,679,1321,223,28,98,1894,642,63,55,493,10,100,1005,122,0.387,0.345,0.732,143,0.268,0.147,2,3.83,144,75,67,33,88,0.528,,1160,99,513,62,1090,617,545,1.31,0,14,53,17,5493,21941,0.241,179,24,63,42,6,58,3,7,144,130,7,3844,1339,126,0.976,7,96,42,30.4,14185,557607
2024,11138,0.424,6,0.274,144,5757,5009,773,1371,226,15,172,2143,737,50,57,513,14,128,1200,100,0.428,0.353,0.781,144,0.27,0.208,6,5.0,144,61,81,22,65,0.43,,1389,137,531,67,1061,801,708,1.51,0,7,54,15,5694,22277,0.279,268,24,58,58,9,47,6,7,144,108,8,3827,1312,115,0.979,8,86,51,37.2,13322,749058
