Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),잠실,NC,4,9,두산,2015,패,승,0,1,0.0,0.0
03.29(일),잠실,NC,1,4,두산,2015,패,승,0,2,0.0,0.0
04.01(수),창원,키움,3,10,NC,2015,패,승,0,3,0.0,363.0
04.03(금),창원,한화,6,11,NC,2015,패,승,0,4,0.0,363.0
04.05(일),창원,한화,2,9,NC,2015,패,승,0,5,0.0,363.0
04.07(화),광주,NC,5,3,KIA,2015,승,패,1,5,0.1666666666666666,575.0
04.08(수),광주,NC,13,5,KIA,2015,승,패,2,5,0.2857142857142857,575.0
04.09(목),광주,NC,4,2,KIA,2015,승,패,3,5,0.375,575.0
04.10(금),창원,SSG,3,2,NC,2015,승,패,4,5,0.4444444444444444,787.0
04.11(토),창원,SSG,2,4,NC,2015,패,승,4,6,0.4,787.0
04.12(일),창원,SSG,11,8,NC,2015,승,패,5,6,0.4545454545454545,787.0
04.14(화),사직,NC,4,5,롯데,2015,패,승,5,7,0.4166666666666667,846.0
04.15(수),사직,NC,0,6,롯데,2015,패,승,5,8,0.3846153846153846,846.0
04.16(목),사직,NC,8,3,롯데,2015,승,패,6,8,0.4285714285714285,846.0
04.17(금),대전,NC,6,10,한화,2015,패,승,6,9,0.4,1106.0
04.18(토),대전,NC,6,8,한화,2015,패,승,6,10,0.375,1106.0
04.21(화),창원,삼성,5,0,NC,2015,승,패,7,10,0.4117647058823529,1330.0
04.22(수),창원,삼성,6,2,NC,2015,승,패,8,10,0.4444444444444444,1330.0
04.23(목),창원,삼성,14,4,NC,2015,승,패,9,10,0.4736842105263157,1330.0
04.24(금),창원,LG,3,11,NC,2015,패,승,9,11,0.45,1330.0
04.25(토),창원,LG,6,2,NC,2015,승,패,10,11,0.4761904761904761,1330.0
04.26(일),창원,LG,7,6,NC,2015,승,패,11,11,0.5,1330.0
04.28(화),문학,NC,8,6,SSG,2015,승,패,12,11,0.5217391304347826,1716.0
04.30(목),문학,NC,6,9,SSG,2015,패,승,12,12,0.5,1716.0
05.01(금),수원,NC,4,2,KT,2015,승,패,13,12,0.52,1759.0
05.02(토),수원,NC,12,2,KT,2015,승,패,14,12,0.5384615384615384,1759.0
05.03(일),수원,NC,11,2,KT,2015,승,패,15,12,0.5555555555555556,1759.0
05.05(화),창원,KIA,3,7,NC,2015,패,승,15,13,0.5357142857142857,2104.0
05.06(수),창원,KIA,4,5,NC,2015,패,승,15,14,0.5172413793103449,2104.0
05.07(목),창원,KIA,4,2,NC,2015,승,패,16,14,0.5333333333333333,2104.0
05.08(금),창원,롯데,3,4,NC,2015,패,승,16,15,0.5161290322580645,2104.0
05.09(토),창원,롯데,3,6,NC,2015,패,승,16,16,0.5,2104.0
05.10(일),창원,롯데,2,6,NC,2015,패,승,16,17,0.4848484848484848,2104.0
05.13(수),잠실,NC,2,6,LG,2015,패,승,16,18,0.4705882352941176,2467.0
05.14(목),잠실,NC,0,0,LG,2015,무,무,16,18,0.4705882352941176,2467.0
05.15(금),대구,NC,7,5,삼성,2015,승,패,17,18,0.4857142857142857,2764.0
05.16(토),대구,NC,8,9,삼성,2015,패,승,17,19,0.4722222222222222,2764.0
05.17(일),대구,NC,2,0,삼성,2015,승,패,18,19,0.4864864864864865,2764.0
05.19(화),창원,KT,4,2,NC,2015,승,패,19,19,0.5,2867.0
05.20(수),창원,KT,2,4,NC,2015,패,승,19,20,0.4871794871794871,2867.0
05.21(목),창원,KT,2,5,NC,2015,패,승,19,21,0.475,2867.0
05.22(금),고척,NC,10,0,키움,2015,승,패,20,21,0.4878048780487805,3231.0
05.23(토),고척,NC,9,5,키움,2015,승,패,21,21,0.5,3231.0
05.24(일),고척,NC,12,11,키움,2015,승,패,22,21,0.5116279069767442,3231.0
05.26(화),창원,두산,2,13,NC,2015,패,승,22,22,0.5,3595.0
05.27(수),창원,두산,1,7,NC,2015,패,승,22,23,0.4888888888888889,3595.0
05.28(목),창원,두산,0,5,NC,2015,패,승,22,24,0.4782608695652174,3595.0
05.29(금),광주,NC,3,13,KIA,2015,패,승,22,25,0.4680851063829787,3807.0
05.30(토),광주,NC,11,6,KIA,2015,승,패,23,25,0.4791666666666667,3807.0
05.31(일),광주,NC,7,6,KIA,2015,승,패,24,25,0.4897959183673469,3807.0
06.02(화),창원,LG,18,5,NC,2015,승,패,25,25,0.5,4019.0
06.03(수),창원,LG,8,4,NC,2015,승,패,26,25,0.5098039215686274,4019.0
06.04(목),창원,LG,4,1,NC,2015,승,패,27,25,0.5192307692307693,4019.0
06.05(금),창원,삼성,6,1,NC,2015,승,패,28,25,0.5283018867924528,4019.0
06.06(토),창원,삼성,4,5,NC,2015,패,승,28,26,0.5185185185185185,4019.0
06.07(일),창원,삼성,1,14,NC,2015,패,승,28,27,0.509090909090909,4019.0
06.09(화),문학,NC,10,2,SSG,2015,승,패,29,27,0.5178571428571429,4405.0
06.10(수),문학,NC,7,2,SSG,2015,승,패,30,27,0.5263157894736842,4405.0
06.12(금),잠실,NC,8,5,두산,2015,승,패,31,27,0.5344827586206896,4459.0
06.13(토),잠실,NC,2,4,두산,2015,패,승,31,28,0.5254237288135594,4459.0
06.14(일),잠실,NC,2,6,두산,2015,패,승,31,29,0.5166666666666667,4459.0
06.16(화),수원,NC,3,4,KT,2015,패,승,31,30,0.5081967213114754,4495.0
06.17(수),수원,NC,4,12,KT,2015,패,승,31,31,0.5,4495.0
06.18(목),수원,NC,9,4,KT,2015,승,패,32,31,0.5079365079365079,4495.0
06.19(금),창원,한화,3,4,NC,2015,패,승,32,32,0.5,4840.0
06.20(토),창원,한화,1,4,NC,2015,패,승,32,33,0.4923076923076923,4840.0
