연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,9268,0.479,7,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29,490,13,98,1047,113,0.41,0.349,0.759,144,0.28,0.227,4,4.71,144,69,73,31,60,0.486,,1358,153,517,70,1149,724,670,1.46,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4,4,144,95,7,3842,1471,130,0.982,6,108,51,32.1,12742,814349
2016,8731,0.479,4,0.291,144,5672,5023,753,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.81,142,0.276,0.299,3,4.87,144,69,75,31,43,0.479,1274.0,1386,151,527,76,945,784,689,1.5,1,5,60,12,5659,21558,0.28,232,22,61,48,18,65,7,8,144,123,7,3822,1691,149,0.978,4,106,64,37.6,12989,865194
2017,9314,0.521,10,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237,6,5.02,144,75,68,30,64,0.524,,1443,154,481,105,940,767,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,9,144,108,15,3812,1552,139,0.98,8,80,39,32.8,14765,892541
2018,9599,0.542,7,0.281,144,5682,4992,829,1403,234,13,233,2362,791,54,34,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241,1,4.67,144,78,65,29,63,0.545,,1353,189,425,74,1130,729,662,1.39,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,5,144,116,6,3824,1434,133,0.978,6,95,39,29.1,15472,1037211
2019,9577,0.611,7,0.262,144,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,1,3.48,144,88,55,51,92,0.615,,1240,99,436,50,1092,546,500,1.3,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,1,144,87,9,3877,1416,131,0.984,3,105,31,22.8,18142,982962
2020,9265,0.354,9,0.25,144,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203,10,5.57,144,51,92,20,53,0.357,,1343,162,670,84,953,846,780,1.6,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,10,144,99,6,3778,1326,139,0.981,6,129,57,30.6,14486,30608
2021,9667,0.458,5,0.261,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,8,4.82,144,66,64,25,56,0.508,,1296,149,629,78,1012,741,684,1.51,0,5,42,24,5706,22459,0.265,214,14,54,50,27,41,9,1,144,102,14,3830,1409,123,0.981,12,105,46,30.5,17421,118412
2022,9364,0.611,7,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228,4,3.87,144,88,52,45,68,0.629,,1223,130,457,65,1023,622,560,1.29,1,10,78,23,5533,21355,0.248,174,17,53,33,18,75,2,1,144,109,9,3904,1455,138,0.98,4,107,31,22.5,27044,981546
2023,8512,0.528,8,0.26,144,5630,4923,658,1279,229,16,125,1915,611,77,45,507,21,78,943,89,0.389,0.336,0.725,142,0.254,0.206,7,4.37,144,76,65,46,71,0.539,,1354,104,612,67,974,698,626,1.53,1,7,57,21,5722,22881,0.275,216,14,59,52,20,61,3,3,144,119,15,3865,1503,163,0.978,11,127,56,30.6,17559,1068211
2024,10179,0.5,7,0.273,144,5647,5001,756,1367,239,20,152,2102,724,51,48,470,12,77,1095,85,0.42,0.342,0.762,144,0.286,0.161,10,5.25,144,72,70,33,80,0.507,,1341,163,630,74,1195,814,740,1.55,0,8,40,19,5737,22705,0.271,198,14,48,42,24,57,4,10,144,119,5,3809,1336,123,0.977,11,119,40,25.2,16979,1143773
