Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),대구,SSG,1,6,삼성,2015,패,승,1,0,1.0,0.0
03.29(일),대구,SSG,7,3,삼성,2015,승,패,1,1,0.5,0.0
04.01(수),문학,KIA,3,0,SSG,2015,승,패,1,2,0.3333333333333333,320.0
04.03(금),고척,SSG,3,14,키움,2015,패,승,2,2,0.5,344.0
04.04(토),고척,SSG,10,4,키움,2015,승,패,2,3,0.4,344.0
04.05(일),고척,SSG,13,7,키움,2015,승,패,2,4,0.3333333333333333,344.0
04.07(화),문학,KT,2,3,SSG,2015,패,승,3,4,0.4285714285714285,368.0
04.08(수),문학,KT,1,2,SSG,2015,패,승,4,4,0.5,368.0
04.09(목),문학,KT,2,13,SSG,2015,패,승,5,4,0.5555555555555556,368.0
04.10(금),창원,SSG,3,2,NC,2015,승,패,5,5,0.5,754.0
04.11(토),창원,SSG,2,4,NC,2015,패,승,6,5,0.5454545454545454,754.0
04.12(일),창원,SSG,11,8,NC,2015,승,패,6,6,0.5,754.0
04.15(수),문학,키움,6,4,SSG,2015,승,패,6,7,0.4615384615384615,1140.0
04.16(목),문학,키움,0,10,SSG,2015,패,승,7,7,0.5,1140.0
04.17(금),문학,LG,6,1,SSG,2015,승,패,7,8,0.4666666666666667,1140.0
04.18(토),문학,LG,4,8,SSG,2015,패,승,8,8,0.5,1140.0
04.21(화),수원,SSG,9,3,KT,2015,승,패,8,9,0.4705882352941176,1183.0
04.22(수),수원,SSG,0,2,KT,2015,패,승,9,9,0.5,1183.0
04.23(목),수원,SSG,3,2,KT,2015,승,패,9,10,0.4736842105263157,1183.0
04.24(금),대전,SSG,0,2,한화,2015,패,승,10,10,0.5,1332.0
04.25(토),대전,SSG,6,7,한화,2015,패,승,11,10,0.5238095238095238,1332.0
04.26(일),대전,SSG,4,5,한화,2015,패,승,12,10,0.5454545454545454,1332.0
04.28(화),문학,NC,8,6,SSG,2015,승,패,12,11,0.5217391304347826,1488.0
04.30(목),문학,NC,6,9,SSG,2015,패,승,13,11,0.5416666666666666,1488.0
05.01(금),광주,SSG,3,1,KIA,2015,승,패,13,12,0.52,1757.0
05.02(토),광주,SSG,2,5,KIA,2015,패,승,14,12,0.5384615384615384,1757.0
05.05(화),사직,SSG,11,4,롯데,2015,승,패,14,13,0.5185185185185185,2019.0
05.06(수),사직,SSG,5,3,롯데,2015,승,패,14,14,0.5,2019.0
05.07(목),사직,SSG,3,2,롯데,2015,승,패,14,15,0.4827586206896552,2019.0
05.08(금),문학,삼성,0,3,SSG,2015,패,승,15,15,0.5,2436.0
