연도,팀명,관중 데이터
2015,삼성,524971 
2016,삼성,851417 
2017,삼성,704857 
2018,삼성,752310 
2019,삼성,691681 
2020,삼성,27819 
2021,삼성,278222 
2022,삼성,674452 
2023,삼성,845775 
2024,삼성,1347022 
2015,KIA,710141 
2016,KIA,773499 
2017,KIA,1024830 
2018,KIA,861729 
2019,KIA,692163 
2020,KIA,21198 
2021,KIA,104989 
2022,KIA,604394 
2023,KIA,717025 
2024,KIA,1259249 
2015,롯데,800962 
2016,롯데,852639
2017,롯데,1038492 
2018,롯데,901634 
2019,롯데,679208 
2020,롯데,36717 
2021,롯데,138294 
2022,롯데,631656 
2023,롯데,891745 
2024,롯데,1232840 
2015,LG,1053450 
2016,LG,1157646 
2017,LG,1134846 
2018,LG,1108677 
2019,LG,1000400
2020,LG,41317 
2021,LG,116691 
2022,LG,930163 
2023,LG,1202637 
2024,LG,1397499 
2015,두산,1120381 
2016,두산,1165020 
2017,두산,1094829 
2018,두산,1112066 
2019,두산,983474 
2020,두산,55047 
2021,두산,98036 
2022,두산,644614 
2023,두산,969562 
2024,두산,1301768 
2015,한화,657385 
2016,한화,660472 
2017,한화,593251 
2018,한화,734110 
2019,한화,555225 
2020,한화,19962 
2021,한화,103960 
2022,한화,358190 
2023,한화,566785 
2024,한화,804204 
2015,SSG,814349 
2016,SSG,865194 
2017,SSG,892541 
2018,SSG,1037211 
2019,SSG,982962 
2020,SSG,30608 
2021,SSG,118412 
2022,SSG,981546 
2023,SSG,1068211 
2024,SSG,1143773 
2015,키움,510802 
2016,키움,782121 
2017,키움,699380 
2018,키움,454574 
2019,키움,453886 
2020,키움,27158 
2021,키움,67407 
2022,키움,349773 
2023,키움,583629 
2024,키움,808350 
2015,NC,522669 
2016,NC,549125 
2017,NC,531121 
2018,NC,442872 
2019,NC,710274 
2020,NC,45992 
2021,NC,128289 
2022,NC,369018 
2023,NC,557607 
2024,NC,749058 
2015,KT,645456 
2016,KT,682444
2017,KT,686541 
2018,KT,668559 
2019,KT,536735 
2020,KT,22499 
2021,KT,74189 
2022,KT,532268 
2023,KT,697350 
2024,KT,843942 
