연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,10379,0.549,3,0.29,144,5759,4957,807,1436,254,22,140,2154,770,75,60,567,24,99,820,139,0.435,0.37,0.805,143,0.287,0.262,7,5.02,144,79,65,30,57,0.549,1286.0,1385,138,584,77,1064,776,718,1.53,3,10,58,18,5762,22557,0.28,248,22,104,45,15,72,11,1,144,93,7,3858,1498,134,0.983,6,109,48,30.6,11065,1120381
2016,9514,0.646,1,0.298,144,5841,5044,935,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,1,4.45,144,93,50,36,55,0.65,,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,2,144,79,8,3863,1522,160,0.986,4,82,44,34.9,12526,1165020
2017,10313,0.583,2,0.294,144,5833,5102,849,1499,270,20,178,2343,812,48,47,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.2,2,4.38,144,84,57,35,46,0.596,1288.0,1405,125,464,87,956,678,627,1.45,3,9,69,13,5682,22169,0.28,234,31,77,39,11,54,4,2,144,90,9,3864,1468,138,0.983,5,64,36,36.0,14728,1094829
2018,9125,0.646,1,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263,3,4.98,144,93,51,41,56,0.646,,1401,154,476,109,1025,756,713,1.46,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,1,144,77,2,3866,1403,147,0.986,8,68,43,38.7,15545,1112066
2019,8952,0.611,3,0.278,144,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202,2,3.51,144,88,55,44,69,0.615,,1259,78,380,70,860,550,500,1.28,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,3,144,83,8,3851,1430,131,0.985,6,96,32,25.0,15431,983474
2020,10253,0.549,1,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246,1,4.31,144,79,61,23,45,0.564,,1395,109,478,61,1046,695,616,1.46,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,4,144,85,10,3857,1282,126,0.984,6,91,25,21.6,16143,55047
2021,9886,0.493,2,0.268,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.284,0.255,3,4.26,144,71,65,28,61,0.522,,1295,104,587,73,1045,656,601,1.48,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7,4,144,89,8,3808,1296,120,0.983,10,83,48,36.6,14540,98036
2022,9809,0.417,6,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246,8,4.45,144,60,82,32,68,0.423,,1336,117,555,70,977,721,632,1.48,0,7,54,18,5700,22437,0.269,206,19,57,48,11,69,5,9,144,117,3,3838,1394,128,0.978,13,95,34,26.4,16572,644614
2023,9132,0.514,9,0.255,144,5538,4859,620,1238,210,32,100,1812,565,57,41,505,25,76,975,90,0.373,0.332,0.705,144,0.242,0.214,3,3.92,144,74,68,41,70,0.521,,1245,90,501,82,1013,625,560,1.36,0,9,64,17,5582,22142,0.255,239,17,79,39,12,60,3,6,144,114,11,3854,1300,108,0.978,12,60,40,40.0,16215,969562
2024,8667,0.514,5,0.276,144,5680,4975,789,1375,243,21,150,2110,743,55,59,510,17,81,1077,100,0.424,0.35,0.774,143,0.28,0.255,4,4.82,144,74,68,41,87,0.521,,1332,135,585,92,1083,748,688,1.49,1,6,42,20,5767,22955,0.267,225,31,55,42,11,67,4,3,144,84,9,3851,1263,109,0.984,15,97,28,22.4,13988,1301768
