Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),잠실,NC,4,9,두산,2015,패,승,1,0,1.0,0.0
03.29(일),잠실,NC,1,4,두산,2015,패,승,2,0,1.0,0.0
04.01(수),대전,두산,6,3,한화,2015,승,패,2,1,0.6666666666666666,172.0
04.02(목),대전,두산,2,4,한화,2015,패,승,3,1,0.75,172.0
04.03(금),사직,두산,0,5,롯데,2015,패,승,4,1,0.8,432.0
04.05(일),사직,두산,4,16,롯데,2015,패,승,5,1,0.8333333333333334,432.0
04.07(화),잠실,키움,17,4,두산,2015,승,패,5,2,0.7142857142857143,832.0
04.08(수),잠실,키움,4,9,두산,2015,패,승,6,2,0.75,832.0
04.09(목),잠실,키움,0,1,두산,2015,패,승,7,2,0.7777777777777778,832.0
04.10(금),잠실,두산,2,5,LG,2015,패,승,8,2,0.8,832.0
04.11(토),잠실,두산,9,6,LG,2015,승,패,8,3,0.7272727272727273,832.0
04.12(일),잠실,두산,2,3,LG,2015,패,승,9,3,0.75,832.0
04.14(화),수원,두산,18,2,KT,2015,승,패,9,4,0.6923076923076923,868.0
04.15(수),수원,두산,7,6,KT,2015,승,패,9,5,0.6428571428571429,868.0
04.17(금),잠실,롯데,1,12,두산,2015,패,승,10,5,0.6666666666666666,904.0
04.18(토),잠실,롯데,5,7,두산,2015,패,승,11,5,0.6875,904.0
04.21(화),고척,두산,0,12,키움,2015,패,승,12,5,0.7058823529411765,935.0
04.22(수),고척,두산,12,9,키움,2015,승,패,12,6,0.6666666666666666,935.0
04.23(목),고척,두산,7,5,키움,2015,승,패,12,7,0.631578947368421,935.0
04.24(금),잠실,KIA,3,7,두산,2015,패,승,13,7,0.65,966.0
04.25(토),잠실,KIA,5,4,두산,2015,승,패,13,8,0.6190476190476191,966.0
04.26(일),잠실,KIA,3,4,두산,2015,패,승,14,8,0.6363636363636364,966.0
04.28(화),잠실,KT,2,6,두산,2015,패,승,15,8,0.6521739130434783,966.0
04.30(목),잠실,KT,3,4,두산,2015,패,승,16,8,0.6666666666666666,966.0
05.01(금),대구,두산,4,12,삼성,2015,패,승,17,8,0.68,1263.0
05.02(토),대구,두산,3,5,삼성,2015,패,승,18,8,0.6923076923076923,1263.0
05.05(화),잠실,LG,3,10,두산,2015,패,승,19,8,0.7037037037037037,1560.0
05.06(수),잠실,LG,4,5,두산,2015,패,승,20,8,0.7142857142857143,1560.0
