연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,13215,0.458,5,0.28,144,5680,4972,765,1393,254,19,177,2216,727,80,28,532,22,68,1186,136,0.446,0.356,0.802,144,0.274,0.183,8,5.07,144,66,77,19,47,0.462,,1461,164,489,87,1015,802,722,1.52,3,5,59,18,5724,22356,0.291,253,13,76,49,26,89,3,3,144,114,10,3844,1569,138,0.979,16,107,54,33.5,11744,800962
2016,11238,0.458,8,0.288,144,5784,5001,777,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.37,0.792,144,0.285,0.251,7,5.63,144,66,78,27,59,0.458,,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,10,144,91,14,3799,1545,142,0.983,14,90,59,39.6,13313,852639
2017,12692,0.556,6,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32,457,33,112,1018,146,0.433,0.356,0.789,144,0.28,0.229,3,4.56,144,80,62,39,59,0.563,,1357,162,477,79,1096,701,652,1.42,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,3,144,86,10,3862,1514,132,0.984,14,87,45,34.1,17408,1038492
2018,11508,0.472,4,0.289,144,5764,5130,821,1484,289,17,203,2416,792,45,37,471,22,81,1157,124,0.471,0.356,0.827,144,0.29,0.25,8,5.37,144,68,74,29,64,0.479,,1410,166,548,73,1164,846,766,1.53,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,3,144,117,5,3851,1426,132,0.978,14,101,41,28.9,18426,901634
2019,11065,0.333,10,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,10,4.83,144,48,93,16,47,0.34,1271.0,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,8,144,114,8,3813,1432,131,0.979,11,91,44,32.6,19583,679208
2020,10082,0.493,5,0.276,144,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,6,4.64,144,71,72,25,59,0.497,,1351,143,447,58,1002,720,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,6,144,94,3,3832,1444,124,0.982,7,95,28,22.8,16393,36717
2021,10046,0.451,1,0.278,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253,10,5.37,144,65,71,37,76,0.478,1271.0,1333,133,659,87,1054,808,758,1.57,1,12,46,15,5759,22835,0.271,253,16,53,40,19,102,5,3,144,85,9,3813,1403,123,0.984,8,101,44,30.3,10235,138294
2022,9981,0.444,4,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268,9,4.45,144,64,76,34,69,0.457,,1373,84,492,80,1199,712,633,1.46,0,13,58,13,5686,21932,0.274,257,22,64,37,21,72,1,7,144,114,3,3842,1403,124,0.979,11,99,39,28.3,11342,631656
2023,10732,0.472,5,0.265,144,5576,4871,653,1289,231,19,69,1765,608,75,57,522,18,51,1000,110,0.362,0.338,0.7,144,0.288,0.263,6,4.15,144,68,76,35,82,0.472,,1328,80,532,82,1070,660,586,1.46,1,10,66,21,5653,22286,0.27,223,24,72,55,20,71,2,9,144,103,3,3817,1365,111,0.981,13,91,46,33.6,14138,891745
2024,11107,0.458,2,0.285,144,5766,5110,802,1454,285,41,125,2196,757,37,57,494,12,68,1079,100,0.43,0.352,0.782,144,0.29,0.252,7,5.05,144,66,74,30,58,0.471,,1442,139,523,75,1131,791,719,1.53,1,6,57,27,5767,22487,0.285,254,20,52,55,18,81,3,5,144,123,10,3842,1411,143,0.977,3,89,36,28.8,16951,1232840
