Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),사직,KT,9,12,롯데,2015,패,승,1,0,1.0,0.0
03.29(일),사직,KT,4,5,롯데,2015,패,승,2,0,1.0,0.0
03.31(화),잠실,롯데,7,1,LG,2015,승,패,2,1,0.6666666666666666,400.0
04.01(수),잠실,롯데,2,3,LG,2015,패,승,3,1,0.75,400.0
04.03(금),사직,두산,0,5,롯데,2015,패,승,4,1,0.8,800.0
04.05(일),사직,두산,4,16,롯데,2015,패,승,5,1,0.8333333333333334,800.0
04.07(화),대구,롯데,1,3,삼성,2015,패,승,6,1,0.8571428571428571,901.0
04.08(수),대구,롯데,2,4,삼성,2015,패,승,7,1,0.875,901.0
04.09(목),대구,롯데,4,5,삼성,2015,패,승,8,1,0.8888888888888888,901.0
04.10(금),사직,한화,9,10,롯데,2015,패,승,9,1,0.9,1002.0
04.11(토),사직,한화,4,1,롯데,2015,승,패,9,2,0.8181818181818182,1002.0
04.12(일),사직,한화,3,15,롯데,2015,패,승,10,2,0.8333333333333334,1002.0
04.14(화),사직,NC,4,5,롯데,2015,패,승,11,2,0.8461538461538461,1002.0
04.15(수),사직,NC,0,6,롯데,2015,패,승,12,2,0.8571428571428571,1002.0
04.16(목),사직,NC,8,3,롯데,2015,승,패,12,3,0.8,1002.0
04.17(금),잠실,롯데,1,12,두산,2015,패,승,13,3,0.8125,1402.0
04.18(토),잠실,롯데,5,7,두산,2015,패,승,14,3,0.8235294117647058,1402.0
04.21(화),광주,롯데,2,3,KIA,2015,패,승,15,3,0.8333333333333334,1663.0
04.22(수),광주,롯데,7,6,KIA,2015,승,패,15,4,0.7894736842105263,1663.0
04.23(목),광주,롯데,6,7,KIA,2015,패,승,16,4,0.8,1663.0
04.24(금),사직,삼성,3,5,롯데,2015,패,승,17,4,0.8095238095238095,1925.0
04.25(토),사직,삼성,9,12,롯데,2015,패,승,18,4,0.8181818181818182,1925.0
04.26(일),사직,삼성,1,7,롯데,2015,패,승,19,4,0.8260869565217391,1925.0
04.28(화),고척,롯데,4,8,키움,2015,패,승,20,4,0.8333333333333334,2339.0
04.30(목),고척,롯데,4,2,키움,2015,승,패,20,5,0.8,2339.0
05.01(금),대전,롯데,5,7,한화,2015,패,승,21,5,0.8076923076923077,2527.0
05.02(토),대전,롯데,3,5,한화,2015,패,승,22,5,0.8148148148148148,2527.0
05.03(일),대전,롯데,6,3,한화,2015,승,패,22,6,0.7857142857142857,2527.0
05.05(화),사직,SSG,11,4,롯데,2015,승,패,22,7,0.7586206896551724,2787.0
05.06(수),사직,SSG,5,3,롯데,2015,승,패,22,8,0.7333333333333333,2787.0
05.07(목),사직,SSG,3,2,롯데,2015,승,패,22,9,0.7096774193548387,2787.0
05.08(금),창원,롯데,3,4,NC,2015,패,승,23,9,0.71875,2846.0
05.09(토),창원,롯데,3,6,NC,2015,패,승,24,9,0.7272727272727273,2846.0
05.10(일),창원,롯데,2,6,NC,2015,패,승,25,9,0.7352941176470589,2846.0
05.12(화),사직,키움,4,5,롯데,2015,패,승,26,9,0.7428571428571429,2905.0
05.13(수),사직,키움,8,9,롯데,2015,패,승,27,9,0.75,2905.0
05.14(목),사직,키움,10,5,롯데,2015,승,패,27,10,0.7297297297297297,2905.0
05.15(금),수원,롯데,11,10,KT,2015,승,패,27,11,0.7105263157894737,3284.0
05.16(토),수원,롯데,10,1,KT,2015,승,패,27,12,0.6923076923076923,3284.0
