연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,11577,0.611,1,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239,3,4.69,144,88,56,34,60,0.611,,1323,182,423,64,1194,716,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,8,144,96,9,3826,1304,104,0.982,8,80,49,38.0,15876,524971
2016,10240,0.451,3,0.293,144,5863,5093,852,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,8,5.64,144,65,78,34,60,0.455,,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,5,144,90,12,3847,1410,140,0.983,8,115,58,33.5,15464,851417
2017,10267,0.382,8,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55,429,17,70,983,97,0.428,0.34,0.768,144,0.285,0.22,10,5.88,144,55,84,27,34,0.396,,1541,187,548,118,1063,911,837,1.63,1,3,43,12,5916,23196,0.3,281,28,56,59,15,74,4,5,144,95,6,3844,1454,152,0.982,14,64,35,35.4,13849,704857
2018,11303,0.472,6,0.288,144,5766,5109,776,1471,241,29,146,2208,732,57,45,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237,5,5.19,144,68,72,33,56,0.486,,1477,185,441,107,1114,802,741,1.49,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,2,144,79,5,3856,1337,133,0.985,7,100,38,27.5,13781,752310
2019,10623,0.417,9,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,7,4.64,144,60,83,29,60,0.42,,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,7,144,105,4,3826,1370,132,0.98,9,90,38,29.7,12844,691681
2020,9346,0.444,8,0.268,144,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,7,4.78,144,64,75,25,80,0.46,,1330,151,542,67,931,745,676,1.47,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5,7,144,102,9,3817,1310,126,0.98,6,57,38,40.0,14960,27819
2021,9546,0.528,3,0.267,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.269,0.212,4,4.3,144,76,59,46,80,0.563,1259.0,1297,131,530,51,1038,658,601,1.45,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3,8,144,88,6,3777,1335,130,0.983,5,61,26,29.9,13138,278222
2022,9427,0.458,2,0.27,144,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273,7,4.29,144,66,76,34,71,0.465,1287.0,1370,129,478,66,971,695,613,1.44,1,6,63,21,5678,22174,0.272,251,15,62,34,22,47,3,5,144,118,9,3861,1448,125,0.978,6,51,35,40.7,18300,674452
2023,11232,0.424,6,0.263,144,5581,4912,636,1290,208,23,88,1808,603,77,43,487,15,62,954,114,0.368,0.334,0.702,143,0.267,0.199,10,4.6,144,61,82,38,69,0.427,,1414,120,464,52,899,728,654,1.47,1,5,63,17,5676,22135,0.28,238,22,66,51,19,51,7,8,144,103,9,3835,1403,111,0.981,6,86,32,27.1,16341,845775
2024,8701,0.542,9,0.269,144,5697,4975,770,1336,204,17,185,2129,734,57,47,531,13,87,1150,94,0.428,0.346,0.774,143,0.271,0.226,3,4.68,144,78,64,41,116,0.549,,1384,164,477,81,980,719,667,1.45,2,11,47,25,5684,22342,0.276,225,23,47,62,18,58,2,4,144,81,3,3848,1252,105,0.984,8,114,50,30.5,14919,1347022
