Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),대구,SSG,1,6,삼성,2015,패,승,1,0,1.0,0.0
03.29(일),대구,SSG,7,3,삼성,2015,승,패,1,1,0.5,0.0
03.31(화),수원,삼성,8,6,KT,2015,승,패,1,2,0.3333333333333333,235.0
04.01(수),수원,삼성,5,1,KT,2015,승,패,1,3,0.25,235.0
04.03(금),잠실,삼성,7,3,LG,2015,승,패,1,4,0.2,271.0
04.04(토),잠실,삼성,2,3,LG,2015,패,승,2,4,0.3333333333333333,271.0
04.05(일),잠실,삼성,5,6,LG,2015,패,승,3,4,0.4285714285714285,271.0
04.07(화),대구,롯데,1,3,삼성,2015,패,승,4,4,0.5,568.0
04.08(수),대구,롯데,2,4,삼성,2015,패,승,5,4,0.5555555555555556,568.0
04.09(목),대구,롯데,4,5,삼성,2015,패,승,6,4,0.6,568.0
04.10(금),대구,KIA,3,4,삼성,2015,패,승,7,4,0.6363636363636364,568.0
04.11(토),대구,KIA,2,5,삼성,2015,패,승,8,4,0.6666666666666666,568.0
04.12(일),대구,KIA,9,7,삼성,2015,승,패,8,5,0.6153846153846154,568.0
04.14(화),대전,삼성,3,5,한화,2015,패,승,9,5,0.6428571428571429,731.0
04.15(수),대전,삼성,8,3,한화,2015,승,패,9,6,0.6,731.0
04.17(금),대구,KT,1,6,삼성,2015,패,승,10,6,0.625,894.0
04.18(토),대구,KT,1,3,삼성,2015,패,승,11,6,0.6470588235294118,894.0
04.21(화),창원,삼성,5,0,NC,2015,승,패,11,7,0.6111111111111112,997.0
04.22(수),창원,삼성,6,2,NC,2015,승,패,11,8,0.5789473684210527,997.0
04.23(목),창원,삼성,14,4,NC,2015,승,패,11,9,0.55,997.0
04.24(금),사직,삼성,3,5,롯데,2015,패,승,12,9,0.5714285714285714,1056.0
04.25(토),사직,삼성,9,12,롯데,2015,패,승,13,9,0.5909090909090909,1056.0
04.26(일),사직,삼성,1,7,롯데,2015,패,승,14,9,0.6086956521739131,1056.0
04.28(화),대구,LG,7,4,삼성,2015,승,패,14,10,0.5833333333333334,1157.0
04.29(수),대구,LG,2,6,삼성,2015,패,승,15,10,0.6,1157.0
04.30(목),대구,LG,5,8,삼성,2015,패,승,16,10,0.6153846153846154,1157.0
05.01(금),대구,두산,4,12,삼성,2015,패,승,17,10,0.6296296296296297,1157.0
05.02(토),대구,두산,3,5,삼성,2015,패,승,18,10,0.6428571428571429,1157.0
05.05(화),고척,삼성,4,9,키움,2015,패,승,19,10,0.6551724137931034,1473.0
05.06(수),고척,삼성,5,3,키움,2015,승,패,19,11,0.6333333333333333,1473.0
