변수,상관관계
승률,1.0
승리,0.9999888081161014
승률_투수,0.9890854564344287
볼넷,0.7936627687437049
출루율,0.6536977718655572
홈런,0.6376058617607012
타점,0.6270023623253995
출루율+장타율,0.6051605834777694
퀄리티스타트,0.6028979853489113
삼진_투수,0.5900445670919828
득점,0.5809224230149316
장타율,0.5572901654311813
세이브,0.5418089698048321
완봉,0.4707875121551257
홀드,0.4686056093887567
루타,0.44866974922624625
타율,0.4483043052517037
득점권타율,0.4464623873665836
완투,0.35536307150260965
수비율,0.34563284512105635
안타,0.3218401663751935
도루실패,0.3148564056372716
타석,0.3020308602848666
희생플라이,0.28671984632745673
고의타구,0.24909381004320894
피홈런,0.1766640422699534
대타타율,0.17409219820449887
순위_수비,0.1577909053052972
도루허용,0.15461091013656772
희생타,0.11592772026199492
도루저지율,0.08935552081119066
사구,0.08680875546008088
삼진,0.06602124892916436
희생번트,0.015722172933081528
누적이동거리,0.00787417208459088
2루타,-0.03442019287163761
견제사,-0.0516617674723927
연도,-0.06297386186251315
블론세이브,-0.07561653578698559
고의사구,-0.080209803521707
타수,-0.08619488799035066
2루타_투수,-0.11925495512894942
병살타,-0.21929089884465658
풋아웃,-0.2666482598914715
멀티히트,-0.321768681272517
3루타,-0.3454692650750031
실책,-0.3541095333256236
사구_투수,-0.35520195693350065
포일,-0.37060727410874694
3루타_투수,-0.38406213716483145
폭투,-0.3964508942309611
희생플라이_투수,-0.40116927487491033
ERA,-0.42755536025021457
자책점,-0.4318766527338115
투구수,-0.47824948414421453
순위,-0.49869939117505285
피안타율,-0.5096157565830972
피안타,-0.5181858516362513
실점,-0.5333596049663275
볼넷_투수,-0.5817726585786626
보크,-0.6249945577350763
총타자상대,-0.6885993342231809
병살,-0.6900372723809116
WHIP,-0.6957066356258172
어시스트,-0.7040937936746644
순위_투수,-0.8979640661384973
패배,-0.9619820798625723
이닝,-1.0000000000000004
경기,
경기수,
경기수_수비,
