팀명,연도,평균연봉
삼성,2015,15876
삼성,2016,15464
삼성,2017,13849
삼성,2018,13781
삼성,2019,12844
삼성,2020,14960
삼성,2021,13138
삼성,2022,18300
삼성,2023,16341
삼성,2024,14919
KIA,2015,8635
KIA,2016,12243
KIA,2017,16989
KIA,2018,20120
KIA,2019,17820
KIA,2020,14657
KIA,2021,9030
KIA,2022,13769
KIA,2023,11747
KIA,2024,14164
KT,2015,5273
KT,2016,8369
KT,2017,7347
KT,2018,10559
KT,2019,9522
KT,2020,10040
KT,2021,10711
KT,2022,12847
KT,2023,15700
KT,2024,17038
LG,2015,13196
LG,2016,12626
LG,2017,12719
LG,2018,15829
LG,2019,13486
LG,2020,16148
LG,2021,12898
LG,2022,14379
LG,2023,14616
LG,2024,19009
NC,2015,8350
NC,2016,12150
NC,2017,12648
NC,2018,10678
NC,2019,16576
NC,2020,16581
NC,2021,14898
NC,2022,18853
NC,2023,14185
NC,2024,13322
SSG,2015,12742
SSG,2016,12989
SSG,2017,14765
SSG,2018,15472
SSG,2019,18142
SSG,2020,14486
SSG,2021,17421
SSG,2022,27044
SSG,2023,17559
SSG,2024,16979
두산,2015,11065
두산,2016,12526
두산,2017,14728
두산,2018,15545
두산,2019,15431
두산,2020,16143
두산,2021,14540
두산,2022,16572
두산,2023,16215
두산,2024,13988
롯데,2015,11744
롯데,2016,13313
롯데,2017,17408
롯데,2018,18426
롯데,2019,19583
롯데,2020,16393
롯데,2021,10235
롯데,2022,11342
롯데,2023,14138
롯데,2024,16951
한화,2015,13981
한화,2016,17912
한화,2017,18430
한화,2018,16674
한화,2019,13668
한화,2020,11198
한화,2021,7994
한화,2022,9052
한화,2023,13571
한화,2024,16335
키움,2015,8350
키움,2016,8116
키움,2017,9613
키움,2018,12389
키움,2019,13242
키움,2020,14145
키움,2021,11563
키움,2022,10417
키움,2023,12408
키움,2024,12245
