연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,9967,0.542,2,0.298,144,5811,5069,904,1512,304,20,203,2465,855,61,55,544,18,82,1098,112,0.486,0.372,0.858,141,0.298,0.27,6,4.91,144,78,65,29,44,0.545,1286.0,1404,146,518,81,1066,790,701,1.49,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4,1,144,110,24,3858,1540,138,0.98,10,111,52,31.9,8350,510802
2016,9335,0.535,2,0.293,144,5702,4990,813,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.44,0.368,0.808,144,0.306,0.244,4,4.96,144,77,66,38,74,0.538,,1487,152,435,68,895,757,705,1.5,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,6,144,94,8,3841,1460,121,0.983,11,98,60,38.0,8116,782121
2017,9108,0.479,4,0.29,144,5712,5098,789,1479,267,30,141,2229,748,21,42,468,15,83,1066,129,0.437,0.357,0.794,144,0.29,0.23,7,5.03,144,69,73,40,66,0.486,1271.0,1488,149,388,97,1005,764,710,1.48,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,8,144,91,7,3813,1424,125,0.983,8,73,43,37.1,9613,699380
2018,9130,0.521,5,0.288,144,5780,5141,825,1481,288,19,165,2302,787,32,50,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265,4,5.08,144,75,69,32,72,0.521,1282.0,1442,178,416,98,1021,780,723,1.45,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,4,144,106,16,3846,1506,147,0.981,7,70,39,35.8,12389,454574
2019,9679,0.597,1,0.282,144,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.3,0.276,3,3.61,144,86,57,39,91,0.601,1279.0,1293,61,371,58,984,572,513,1.3,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,5,144,99,13,3837,1509,128,0.982,6,92,46,33.3,13242,453886
2020,7404,0.556,7,0.269,144,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,3,4.39,144,80,63,42,81,0.559,,1336,126,446,73,950,692,624,1.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7,5,144,112,15,3841,1544,143,0.98,8,87,39,31.0,14145,27158
2021,9112,0.486,7,0.259,144,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.277,0.232,5,4.31,144,70,67,30,56,0.511,,1281,101,566,80,900,700,605,1.46,1,7,57,16,5599,21670,0.264,223,7,55,48,27,59,4,7,144,129,14,3790,1532,152,0.976,5,85,35,29.2,11563,67407
2022,9966,0.556,9,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182,3,3.79,144,80,62,48,84,0.563,,1247,96,490,70,1010,610,546,1.34,2,19,71,18,5579,21568,0.254,259,15,66,42,18,51,1,2,144,118,3,3889,1549,134,0.979,7,85,42,33.1,10417,349773
2023,9539,0.403,7,0.261,144,5729,5062,607,1323,223,30,61,1789,576,51,58,484,21,74,1096,87,0.353,0.331,0.684,144,0.258,0.18,9,4.42,144,58,83,33,61,0.411,,1340,84,532,63,962,710,632,1.45,1,11,68,24,5704,21903,0.269,237,23,62,57,18,56,7,3,144,114,5,3865,1424,125,0.979,9,129,45,25.9,12408,583629
2024,9937,0.403,10,0.264,144,5671,5015,672,1326,222,24,104,1908,641,37,49,492,10,78,1141,96,0.38,0.337,0.717,143,0.279,0.236,9,5.16,144,58,86,23,48,0.403,,1416,150,497,88,921,796,729,1.5,0,3,57,16,5708,21556,0.282,260,26,43,64,15,64,7,9,144,104,2,3818,1309,129,0.98,10,117,40,25.5,12245,808350
