Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),고척,한화,4,5,키움,2015,패,승,1,0,1.0,0.0
03.29(일),고척,한화,5,3,키움,2015,승,패,1,1,0.5,0.0
04.01(수),창원,키움,3,10,NC,2015,패,승,2,1,0.6666666666666666,364.0
04.03(금),고척,SSG,3,14,키움,2015,패,승,3,1,0.75,728.0
04.04(토),고척,SSG,10,4,키움,2015,승,패,3,2,0.6,728.0
04.05(일),고척,SSG,13,7,키움,2015,승,패,3,3,0.5,728.0
04.07(화),잠실,키움,17,4,두산,2015,승,패,3,4,0.4285714285714285,759.0
04.08(수),잠실,키움,4,9,두산,2015,패,승,4,4,0.5,759.0
04.09(목),잠실,키움,0,1,두산,2015,패,승,5,4,0.5555555555555556,759.0
04.10(금),고척,KT,0,6,키움,2015,패,승,6,4,0.6,790.0
04.11(토),고척,KT,6,4,키움,2015,승,패,6,5,0.5454545454545454,790.0
04.12(일),고척,KT,5,3,키움,2015,승,패,6,6,0.5,790.0
04.15(수),문학,키움,6,4,SSG,2015,승,패,6,7,0.4615384615384615,814.0
04.16(목),문학,키움,0,10,SSG,2015,패,승,7,7,0.5,814.0
04.17(금),광주,키움,4,3,KIA,2015,승,패,7,8,0.4666666666666667,1083.0
04.18(토),광주,키움,5,1,KIA,2015,승,패,7,9,0.4375,1083.0
04.19(일),광주,키움,15,4,KIA,2015,승,패,7,10,0.4117647058823529,1083.0
04.21(화),고척,두산,0,12,키움,2015,패,승,8,10,0.4444444444444444,1396.0
04.22(수),고척,두산,12,9,키움,2015,승,패,8,11,0.4210526315789473,1396.0
04.23(목),고척,두산,7,5,키움,2015,승,패,8,12,0.4,1396.0
04.24(금),수원,키움,9,2,KT,2015,승,패,8,13,0.3809523809523809,1429.0
04.25(토),수원,키움,3,0,KT,2015,승,패,8,14,0.3636363636363636,1429.0
04.26(일),수원,키움,11,4,KT,2015,승,패,8,15,0.3478260869565217,1429.0
04.28(화),고척,롯데,4,8,키움,2015,패,승,9,15,0.375,1462.0
04.30(목),고척,롯데,4,2,키움,2015,승,패,9,16,0.36,1462.0
05.01(금),잠실,키움,3,1,LG,2015,승,패,9,17,0.3461538461538461,1493.0
05.02(토),잠실,키움,4,3,LG,2015,승,패,9,18,0.3333333333333333,1493.0
05.03(일),잠실,키움,6,2,LG,2015,승,패,9,19,0.3214285714285714,1493.0
05.05(화),고척,삼성,4,9,키움,2015,패,승,10,19,0.3448275862068966,1524.0
05.06(수),고척,삼성,5,3,키움,2015,승,패,10,20,0.3333333333333333,1524.0
05.07(목),고척,삼성,13,4,키움,2015,승,패,10,21,0.3225806451612903,1524.0
