연도,순위,팀명,ERA,경기수,승리,패배,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타,3루타,희생타,희생플라이,고의사구,폭투,보크
2015,1,NC,4.26,144,84,57,37,55,0.596,1279 1/3,1283,149,436,113,1057,655,605,1.34,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3
2015,2,LG,4.62,144,64,78,25,44,0.451,1279 2/3,1352,125,490,98,1063,721,657,1.44,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3
2015,3,삼성,4.69,144,88,56,34,60,0.611,1275 1/3,1323,182,423,64,1194,716,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2
2015,4,SK,4.71,144,69,73,31,60,0.486,1280 2/3,1358,153,517,70,1149,724,670,1.46,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4
2015,5,KIA,4.79,144,67,77,32,65,0.465,1273,1371,143,572,98,979,739,678,1.53,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4
2015,6,넥센,4.91,144,78,65,29,44,0.545,1286,1404,146,518,81,1066,790,701,1.49,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4
2015,7,두산,5.02,144,79,65,30,57,0.549,1286,1385,138,584,77,1064,776,718,1.53,3,10,58,18,5762,22557,0.280,248,22,104,45,15,72,11
2015,8,롯데,5.07,144,66,77,19,47,0.462,1281 1/3,1461,164,489,87,1015,802,722,1.52,3,5,59,18,5724,22356,0.291,253,13,76,49,26,89,3
2015,9,한화,5.11,144,68,76,32,44,0.472,1279 2/3,1349,157,648,96,920,800,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9
2015,10,KT,5.56,144,52,91,16,31,0.364,1266 2/3,1518,154,577,87,1046,875,782,1.65,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4
2016,1,두산,4.45,144,93,50,36,55,0.650,1287 2/3,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4
2016,2,NC,4.48,144,83,58,36,62,0.589,1286 1/3,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7
2016,3,SK,4.87,144,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.50,1,5,60,12,5659,21558,0.280,232,22,61,48,18,65,7
2016,4,넥센,4.96,144,77,66,38,74,0.538,1280 1/3,1487,152,435,68,895,757,705,1.50,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3
2016,5,KIA,4.97,144,70,73,38,74,0.490,1276,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.290,230,23,75,54,18,69,7
2016,6,LG,5.04,144,71,71,34,75,0.500,1287 2/3,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1
2016,7,롯데,5.63,144,66,78,27,59,0.458,1266 1/3,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5
2016,8,삼성,5.64,144,65,78,34,60,0.455,1282 1/3,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8
