연도,누적이동거리,승률,순위,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,순위_투수,ERA,경기수,승리,패배,세이브,홀드,승률_투수,이닝,피안타,피홈런,볼넷_투수,사구_투수,삼진_투수,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타_투수,3루타_투수,희생타,희생플라이_투수,고의사구,폭투,보크,순위_수비,경기수_수비,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루실패,도루저지율,평균연봉,관중 데이터
2015,9950,0.472,8,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.36,0.764,144,0.269,0.207,9,5.11,144,68,76,32,44,0.472,,1349,157,648,96,920,800,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,5,144,105,9,3839,1582,145,0.981,14,165,63,27.6,13981,657385
2016,9745,0.458,7,0.289,144,5838,5109,826,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.28,9,5.76,144,66,75,24,39,0.468,,1520,155,634,76,976,908,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,1,144,124,7,3878,1497,152,0.977,8,124,66,34.7,17912,660472
2017,9469,0.424,5,0.287,144,5665,5030,737,1445,261,16,150,2188,684,85,38,416,15,94,974,112,0.435,0.35,0.785,144,0.29,0.281,8,5.28,144,61,81,31,49,0.43,1273.0,1474,166,446,100,914,820,747,1.51,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,7,144,91,4,3819,1500,151,0.983,11,78,42,35.0,18430,593251
2018,10140,0.535,8,0.275,144,5539,4972,729,1369,249,14,151,2099,668,31,28,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231,2,4.93,144,77,67,37,62,0.535,1274.0,1394,164,472,89,1124,761,698,1.46,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,7,144,99,10,3822,1397,141,0.981,11,83,41,33.1,16674,734110
2019,10232,0.403,8,0.256,144,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,9,4.8,144,58,86,28,43,0.403,,1407,120,526,72,934,737,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,9,144,106,8,3806,1488,151,0.98,10,104,49,32.0,13668,555225
2020,8849,0.319,10,0.245,144,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,144,0.245,0.22,9,5.28,144,46,95,21,54,0.326,1265.0,1400,158,609,79,1019,820,742,1.59,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,9,144,100,7,3795,1279,133,0.981,10,120,45,27.3,11198,19962
2021,8384,0.34,10,0.237,144,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,7,4.65,144,49,83,21,62,0.371,,1208,115,673,101,1011,739,650,1.49,1,6,41,19,5672,22852,0.252,223,19,46,63,23,56,11,9,144,120,7,3776,1262,121,0.977,7,111,41,27.0,7994,103960
2022,9181,0.319,10,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211,10,4.83,144,46,96,25,81,0.324,,1314,112,602,83,974,759,680,1.51,1,9,37,25,5710,22412,0.268,268,22,63,57,39,65,4,10,144,134,7,3805,1406,111,0.975,8,121,51,29.7,9052,358190
2023,9465,0.403,10,0.241,144,5628,4906,604,1184,211,12,100,1719,568,59,40,535,21,88,1162,103,0.35,0.324,0.674,144,0.24,0.178,8,4.38,144,58,80,20,68,0.42,,1292,101,518,103,1037,708,628,1.4,0,8,40,24,5682,22355,0.261,241,34,60,48,23,73,7,2,144,109,7,3875,1359,106,0.98,10,94,48,33.8,13571,566785
2024,8722,0.458,8,0.27,144,5702,5005,745,1351,224,18,127,1992,698,42,40,530,18,85,1077,109,0.398,0.347,0.745,144,0.295,0.245,5,4.98,144,66,76,26,68,0.465,,1437,128,511,76,1130,780,706,1.53,0,10,45,19,5720,22519,0.285,235,25,48,49,10,66,4,8,144,105,5,3824,1324,132,0.98,12,110,43,28.1,16335,804204
