Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),고척,한화,4,5,키움,2015,패,승,1,0,1.0,0.0
03.29(일),고척,한화,5,3,키움,2015,승,패,1,1,0.5,0.0
04.01(수),대전,두산,6,3,한화,2015,승,패,1,2,0.3333333333333333,188.0
04.02(목),대전,두산,2,4,한화,2015,패,승,2,2,0.5,188.0
04.03(금),창원,한화,6,11,NC,2015,패,승,3,2,0.6,412.0
04.05(일),창원,한화,2,9,NC,2015,패,승,4,2,0.6666666666666666,412.0
04.07(화),대전,LG,3,4,한화,2015,패,승,5,2,0.7142857142857143,636.0
04.08(수),대전,LG,3,2,한화,2015,승,패,5,3,0.625,636.0
04.09(목),대전,LG,4,5,한화,2015,패,승,6,3,0.6666666666666666,636.0
04.10(금),사직,한화,9,10,롯데,2015,패,승,7,3,0.7,896.0
04.11(토),사직,한화,4,1,롯데,2015,승,패,7,4,0.6363636363636364,896.0
04.12(일),사직,한화,3,15,롯데,2015,패,승,8,4,0.6666666666666666,896.0
04.14(화),대전,삼성,3,5,한화,2015,패,승,9,4,0.6923076923076923,1156.0
04.15(수),대전,삼성,8,3,한화,2015,승,패,9,5,0.6428571428571429,1156.0
04.17(금),대전,NC,6,10,한화,2015,패,승,10,5,0.6666666666666666,1156.0
04.18(토),대전,NC,6,8,한화,2015,패,승,11,5,0.6875,1156.0
04.21(화),잠실,한화,0,10,LG,2015,패,승,12,5,0.7058823529411765,1328.0
04.22(수),잠실,한화,5,2,LG,2015,승,패,12,6,0.6666666666666666,1328.0
04.23(목),잠실,한화,2,5,LG,2015,패,승,13,6,0.6842105263157895,1328.0
04.24(금),대전,SSG,0,2,한화,2015,패,승,14,6,0.7,1500.0
04.25(토),대전,SSG,6,7,한화,2015,패,승,15,6,0.7142857142857143,1500.0
04.26(일),대전,SSG,4,5,한화,2015,패,승,16,6,0.7272727272727273,1500.0
04.29(수),광주,한화,4,9,KIA,2015,패,승,17,6,0.7391304347826086,1687.0
04.30(목),광주,한화,6,0,KIA,2015,승,패,17,7,0.7083333333333334,1687.0
05.01(금),대전,롯데,5,7,한화,2015,패,승,18,7,0.72,1874.0
05.02(토),대전,롯데,3,5,한화,2015,패,승,19,7,0.7307692307692307,1874.0
05.03(일),대전,롯데,6,3,한화,2015,승,패,19,8,0.7037037037037037,1874.0
05.05(화),대전,KT,8,15,한화,2015,패,승,20,8,0.7142857142857143,1874.0
05.06(수),대전,KT,8,5,한화,2015,승,패,20,9,0.6896551724137931,1874.0
05.07(목),대전,KT,7,6,한화,2015,승,패,20,10,0.6666666666666666,1874.0
