연도,순위,선수명,포지션,경기수,선발경기수,수비이닝,실책,견제사,풋아웃,어시스트,병살타,수비율,포일,도루허용,도루실패,도루저지율
2015,1,정근우,2루수,124,120,1015 1/3,10,0,267,367,85,1.000,0,0,0,-
2015,2,이용규,중견수,114,111,963 2/3,3,0,256,5,1,1.000,0,0,0,-
2015,3,조인성,포수,105,85,713 1/3,6,1,493,65,11,1.000,6,82,34,29.3
2015,4,강경학,유격수,97,72,639 2/3,12,0,129,212,48,1.000,0,0,0,-
2015,5,김태균,1루수,95,94,760 1/3,9,0,755,59,74,1.000,0,0,0,-
2015,6,주현상,3루수,94,65,559 2/3,7,0,46,140,14,1.000,0,0,0,-
2015,7,권용관,유격수,84,65,568,12,0,107,162,47,1.000,0,0,0,-
2015,8,권혁,투수,78,0,112,1,1,2,18,1,1.000,0,0,0,-
2015,9,박정진,투수,76,0,96,2,0,3,8,1,1.000,0,0,0,-
2015,10,최진행,좌익수,72,67,545,1,0,130,4,0,1.000,0,0,0,-
2015,11,송창식,투수,64,10,109,1,1,7,10,0,1.000,0,0,0,-
2015,12,김경언,우익수,60,51,400 1/3,2,0,108,2,1,1.000,0,0,0,-
2015,13,허도환,포수,58,25,249 1/3,3,0,205,21,2,1.000,3,40,9,18.4
2015,14,이성열,좌익수,57,38,322 1/3,2,0,70,3,0,1.000,0,0,0,-
2015,15,송주호,좌익수,56,13,206 2/3,1,0,50,0,0,1.000,0,0,0,-
2015,16,김기현,투수,54,0,41 1/3,0,0,1,3,0,1.000,0,0,0,-
2015,17,정대훈,투수,51,0,36,0,0,3,7,2,1.000,0,0,0,-
2015,18,김회성,3루수,49,41,347 2/3,5,0,31,81,8,1.000,0,0,0,-
2015,18,정범모,포수,49,32,260 1/3,5,1,201,18,2,1.000,3,37,7,15.9
2015,20,김회성,1루수,41,20,198 1/3,2,0,185,13,22,1.000,0,0,0,-
2015,21,송주호,우익수,40,13,163,2,0,40,1,1,1.000,0,0,0,-
2015,21,윤규진,투수,40,0,50 2/3,0,1,1,7,0,1.000,0,0,0,-
2015,23,정현석,우익수,38,28,249 1/3,1,0,50,4,1,1.000,0,0,0,-
2015,24,김민우,투수,36,8,70,1,0,1,10,0,1.000,0,0,0,-
2015,25,안영명,투수,35,27,125 1/3,1,0,8,27,1,1.000,0,0,0,-
2015,26,신성현,3루수,34,16,163 1/3,2,0,14,42,2,1.000,0,0,0,-
2015,27,송은범,투수,33,14,70 1/3,0,0,6,8,0,1.000,0,0,0,-
2015,28,배영수,투수,32,21,101,2,1,6,14,0,1.000,0,0,0,-
2015,28,이동걸,투수,32,0,44 1/3,0,0,2,7,0,1.000,0,0,0,-
2015,30,탈보트,투수,30,30,156 1/3,0,2,14,31,3,1.000,0,0,0,-
2016,1,정근우,2루수,138,137,1170 2/3,16,0,337,406,105,1.000,0,0,0,-
2016,2,차일목,포수,116,90,708 1/3,6,2,582,57,6,1.000,6,76,31,29.0
2016,3,이용규,중견수,113,113,979 1/3,3,0,294,6,5,1.000,0,0,0,-
2016,4,송광민,3루수,112,109,889,12,0,90,192,33,1.000,0,0,0,-
2016,5,하주석,유격수,109,104,886 1/3,19,0,176,267,65,1.000,0,0,0,-
2016,6,양성우,우익수,89,69,640,1,0,148,6,0,1.000,0,0,0,-
2016,7,박정진,투수,77,1,84,1,0,3,11,0,1.000,0,0,0,-
2016,8,조인성,포수,73,24,333 2/3,4,0,257,26,2,1.000,1,32,13,28.9
2016,9,로사리오,1루수,72,69,580,6,0,496,49,46,1.000,0,0,0,-
2016,10,권혁,투수,66,0,95 1/3,3,0,5,14,1,1.000,0,0,0,-
2016,10,송창식,투수,66,1,97 2/3,2,0,5,10,1,1.000,0,0,0,-
2016,10,심수창,투수,66,10,113 1/3,4,0,3,16,2,1.000,0,0,0,-
2016,13,정우람,투수,61,0,81,1,0,7,16,2,1.000,0,0,0,-
2016,14,김경언,우익수,58,52,384,1,0,81,4,1,1.000,0,0,0,-
2016,15,장민석,좌익수,57,26,266 2/3,2,0,43,1,0,1.000,0,0,0,-
2016,16,김태균,1루수,56,55,471 2/3,4,0,406,33,50,1.000,0,0,0,-
2016,17,이성열,좌익수,48,31,253 1/3,2,0,53,4,1,1.000,0,0,0,-
2016,17,장민재,투수,48,13,119 1/3,4,1,5,12,1,1.000,0,0,0,-
2016,19,허도환,포수,47,29,230 2/3,1,0,154,23,4,1.000,1,16,11,40.7
2016,20,신성현,3루수,43,28,256 1/3,5,0,20,36,6,1.000,0,0,0,-
2016,21,윤규진,투수,41,16,100 1/3,1,0,6,14,2,1.000,0,0,0,-
2016,22,양성우,좌익수,40,33,255 1/3,1,0,67,1,0,1.000,0,0,0,-
2016,23,강경학,유격수,38,27,252 1/3,7,0,47,72,15,1.000,0,0,0,-
2016,24,정대훈,투수,36,0,38 2/3,0,0,3,8,0,1.000,0,0,0,-
2016,25,오선진,3루수,31,2,73,0,0,10,17,1,1.000,0,0,0,-
2016,25,장민석,중견수,31,18,167,1,0,39,0,0,1.000,0,0,0,-
2016,25,장운호,좌익수,31,12,124 2/3,0,0,26,2,0,1.000,0,0,0,-
2016,28,송은범,투수,30,27,122,1,2,10,15,3,1.000,0,0,0,-
2016,28,신성현,1루수,30,9,102,1,0,83,7,12,1.000,0,0,0,-
2016,30,이태양,투수,29,25,112 1/3,1,0,4,13,1,1.000,0,0,0,-
2017,1,하주석,유격수,108,104,913 1/3,9,0,158,298,61,1.000,0,0,0,-
2017,2,송광민,3루수,107,102,834,9,0,68,202,28,1.000,0,0,0,-
2017,3,로사리오,1루수,105,102,883 1/3,10,0,831,53,95,1.000,0,0,0,-
2017,4,정근우,2루수,103,98,800,11,0,231,292,78,1.000,0,0,0,-
2017,5,최재훈,포수,102,83,706,1,1,536,34,6,1.000,5,42,17,28.8
2017,6,이성열,좌익수,71,69,559,4,0,119,7,0,1.000,0,0,0,-
2017,7,양성우,우익수,69,47,419 2/3,3,0,100,1,1,1.000,0,0,0,-
2017,8,송창식,투수,63,0,73 1/3,1,1,4,8,0,1.000,0,0,0,-
2017,9,장민석,우익수,58,39,357 2/3,3,0,94,2,1,1.000,0,0,0,-
2017,10,정우람,투수,56,0,59,0,0,4,6,0,1.000,0,0,0,-
2017,11,박정진,투수,55,0,48,1,0,0,4,0,1.000,0,0,0,-
2017,12,양성우,좌익수,53,27,292 2/3,0,0,60,2,0,1.000,0,0,0,-
2017,13,이시원,중견수,51,25,291,1,0,79,0,0,1.000,0,0,0,-
2017,13,차일목,포수,51,35,275 2/3,0,1,205,17,1,1.000,3,21,6,22.2
2017,15,심수창,투수,48,0,57,0,0,3,3,0,1.000,0,0,0,-
2017,16,이용규,중견수,43,42,346 2/3,0,0,89,0,0,1.000,0,0,0,-
2017,17,김원석,우익수,41,22,240,0,0,63,0,0,1.000,0,0,0,-
2017,17,장민석,중견수,41,36,284 1/3,0,0,91,2,0,1.000,0,0,0,-
2017,17,최진행,좌익수,41,37,266 2/3,1,0,62,1,0,1.000,0,0,0,-
2017,20,권혁,투수,37,0,31 1/3,0,0,2,4,0,1.000,0,0,0,-
2017,21,윤규진,투수,36,18,119,0,0,11,8,4,1.000,0,0,0,-
2017,22,정경운,유격수,35,24,238 2/3,5,0,38,74,18,1.000,0,0,0,-
2017,23,김원석,중견수,34,23,204,0,0,52,0,0,1.000,0,0,0,-
2017,24,오선진,2루수,33,26,236,4,0,49,72,16,1.000,0,0,0,-
2017,24,장민재,투수,33,5,62 2/3,1,0,2,10,1,1.000,0,0,0,-
2017,26,강승현,투수,31,1,38 1/3,1,0,4,8,0,1.000,0,0,0,-
2017,27,오선진,3루수,30,13,145,0,0,11,23,4,1.000,0,0,0,-
2017,27,허도환,포수,30,11,119,0,0,78,12,2,1.000,2,2,3,60.0
2017,29,김회성,1루수,25,15,135,1,0,129,8,11,1.000,0,0,0,-
2017,29,배영수,투수,25,25,128,3,0,4,17,1,1.000,0,0,0,-
2018,1,하주석,유격수,141,132,1142 2/3,18,0,194,348,80,1.000,0,0,0,-
2018,2,이용규,중견수,133,128,1069 2/3,6,0,260,5,2,1.000,0,0,0,-
2018,3,호잉,우익수,130,129,1098 2/3,3,0,240,9,1,1.000,0,0,0,-
2018,4,최재훈,포수,126,95,830 2/3,5,0,747,48,14,1.000,7,52,25,32.5
2018,5,송광민,3루수,94,89,738 1/3,10,0,48,149,18,1.000,0,0,0,-
2018,6,지시완,포수,84,48,433,3,0,400,31,6,1.000,4,31,8,20.5
2018,7,박상원,투수,69,0,59 2/3,0,0,4,8,2,1.000,0,0,0,-
2018,8,송은범,투수,68,0,79 1/3,2,1,5,19,2,1.000,0,0,0,-
2018,8,정은원,2루수,68,41,402 2/3,3,0,78,124,33,1.000,0,0,0,-
2018,10,양성우,좌익수,66,52,458,1,0,102,3,1,1.000,0,0,0,-
2018,11,강경학,2루수,63,54,468 2/3,1,0,109,149,38,1.000,0,0,0,-
2018,11,이태양,투수,63,0,79 1/3,1,0,5,6,1,1.000,0,0,0,-
2018,13,이성열,1루수,58,54,444 2/3,4,0,397,32,37,1.000,0,0,0,-
2018,14,서균,투수,56,0,37 1/3,1,0,1,6,1,1.000,0,0,0,-
2018,15,김범수,투수,55,3,48 1/3,0,1,0,7,0,1.000,0,0,0,-
2018,15,정우람,투수,55,0,53 1/3,0,0,3,4,1,1.000,0,0,0,-
2018,17,안영명,투수,53,1,66,0,0,3,7,1,1.000,0,0,0,-
2018,18,오선진,3루수,41,27,248,4,0,17,42,6,1.000,0,0,0,-
2018,18,최진행,좌익수,41,29,257 2/3,1,0,62,0,0,1.000,0,0,0,-
2018,20,정근우,2루수,39,38,303,9,0,72,94,27,1.000,0,0,0,-
2018,21,장민재,투수,34,3,59 2/3,1,0,5,5,0,1.000,0,0,0,-
2018,22,정근우,1루수,33,33,262,2,0,238,22,32,1.000,0,0,0,-
2018,23,김민하,좌익수,31,14,128 1/3,0,0,28,1,1,1.000,0,0,0,-
2018,23,김회성,3루수,31,15,153 2/3,0,0,13,30,3,1.000,0,0,0,-
2018,25,백진우,좌익수,30,17,157 2/3,2,0,23,2,0,1.000,0,0,0,-
2018,25,샘슨,투수,30,29,161 2/3,1,1,16,20,1,1.000,0,0,0,-
2018,27,김재영,투수,29,21,111 1/3,1,1,10,23,3,1.000,0,0,0,-
2018,28,김회성,1루수,26,7,91,0,0,74,7,3,1.000,0,0,0,-
2018,29,백진우,1루수,25,13,140,2,0,125,13,15,1.000,0,0,0,-
2018,30,김민우,투수,23,20,99 1/3,2,1,4,5,0,1.000,0,0,0,-
2019,1,정은원,2루수,142,137,1192 2/3,13,0,299,421,115,1.000,0,0,0,-
2019,2,최재훈,포수,133,126,1022 2/3,6,3,788,76,17,1.000,8,84,31,27.0
2019,3,송광민,3루수,120,115,974,16,0,79,218,33,1.000,0,0,0,-
2019,3,오선진,유격수,120,113,954 2/3,12,0,160,303,69,1.000,0,0,0,-
2019,5,호잉,우익수,88,65,606 2/3,2,0,141,7,4,1.000,0,0,0,-
2019,6,안영명,투수,67,0,62,0,0,6,5,0,1.000,0,0,0,-
2019,7,장진혁,중견수,62,31,350 1/3,0,0,104,3,0,1.000,0,0,0,-
2019,8,박상원,투수,61,0,59,0,1,3,7,0,1.000,0,0,0,-
2019,8,호잉,중견수,61,57,433 2/3,0,0,132,2,0,1.000,0,0,0,-
2019,10,정우람,투수,57,0,58 1/3,1,0,2,5,0,1.000,0,0,0,-
2019,11,이태양,투수,55,1,66 2/3,3,0,4,9,1,1.000,0,0,0,-
2019,12,이성열,우익수,54,49,388,3,0,91,3,0,1.000,0,0,0,-
2019,13,정근우,중견수,52,46,352 1/3,2,0,88,2,0,1.000,0,0,0,-
2019,14,김민하,좌익수,50,25,257 2/3,2,0,64,3,0,1.000,0,0,0,-
2019,15,김범수,투수,45,16,103,1,0,4,9,0,1.000,0,0,0,-
2019,15,장진혁,좌익수,45,34,265,3,0,68,2,0,1.000,0,0,0,-
2019,15,지시완,포수,45,13,186 1/3,0,0,142,10,2,1.000,2,15,3,16.7
2019,18,신정락,투수,44,1,44 2/3,2,0,2,2,1,1.000,0,0,0,-
2019,18,최진행,좌익수,44,36,267,0,0,68,0,0,1.000,0,0,0,-
2019,20,양성우,좌익수,43,21,231 1/3,0,0,41,2,0,1.000,0,0,0,-
2019,21,김회성,1루수,42,15,173 2/3,1,0,139,13,19,1.000,0,0,0,-
2019,22,노시환,1루수,36,24,201 2/3,2,0,202,13,19,1.000,0,0,0,-
