연도,순위,선수명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의타구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
2015,1,이창열,0.500,5,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,0.500,1.500,0,1.000,0.500
2015,2,이용규,0.341,124,585,493,94,168,15,7,4,209,42,11,4,68,5,9,45,4,0.424,0.427,0.851,49,0.350,0.000
2015,3,김경언,0.337,107,437,377,58,127,21,1,16,198,78,5,3,50,3,2,89,9,0.525,0.414,0.939,40,0.323,0.250
2015,4,박노민,0.333,23,26,24,1,8,0,0,0,8,4,0,0,2,0,0,11,0,0.333,0.385,0.718,0,0.250,0.333
2015,5,정근우,0.316,126,552,468,99,148,30,2,12,218,66,13,2,61,1,8,66,14,0.466,0.403,0.869,48,0.307,0.000
2015,6,김태균,0.316,133,524,408,61,129,28,0,21,220,104,1,5,98,12,12,80,19,0.539,0.457,0.996,30,0.353,0.333
2015,7,정현석,0.310,43,133,116,20,36,6,0,1,45,12,2,0,13,1,2,24,3,0.388,0.389,0.777,10,0.310,0.167
2015,8,하주석,0.300,4,11,10,3,3,0,0,0,3,1,0,0,1,0,0,4,0,0.300,0.364,0.664,1,0.500,0.000
2015,9,최진행,0.291,109,410,333,55,97,17,0,18,168,64,5,3,65,6,4,101,9,0.505,0.410,0.915,26,0.281,0.167
2015,10,이종환,0.290,44,106,100,14,29,4,0,0,33,12,0,0,6,0,0,21,0,0.330,0.330,0.660,8,0.314,0.250
2015,11,이시찬,0.281,34,72,64,7,18,1,0,0,19,6,1,2,4,0,1,12,3,0.297,0.324,0.621,5,0.300,0.083
2015,12,폭스,0.278,38,121,108,16,30,4,0,7,55,25,0,2,8,1,3,27,9,0.509,0.339,0.848,8,0.270,0.200
2015,13,모건,0.273,10,42,33,2,9,2,0,0,11,5,0,1,4,0,4,8,1,0.333,0.405,0.738,2,0.214,0.000
2015,14,강경학,0.257,120,376,311,50,80,7,4,2,101,27,17,3,40,1,5,58,3,0.325,0.348,0.673,20,0.233,0.143
2015,15,장운호,0.254,42,141,114,17,29,4,0,2,39,8,11,0,10,0,6,27,4,0.342,0.346,0.688,6,0.133,0.000
2015,16,이성열,0.250,101,268,232,35,58,10,2,9,99,36,5,2,20,1,9,87,5,0.427,0.331,0.758,11,0.322,0.364
2015,16,지시완,0.250,9,12,12,1,3,1,0,0,4,0,0,0,0,0,0,5,0,0.333,0.250,0.583,0,0.000,0.000
2015,18,송광민,0.243,12,41,37,2,9,2,0,0,11,1,1,0,2,0,1,11,1,0.297,0.300,0.597,2,0.125,0.000
2015,19,김태완,0.239,22,50,46,5,11,2,0,0,13,3,0,0,2,0,2,16,1,0.283,0.300,0.583,3,0.059,0.167
2015,20,조인성,0.232,106,310,276,33,64,11,0,11,108,44,11,1,16,0,6,89,5,0.391,0.288,0.679,13,0.244,0.000
2015,21,한상훈,0.230,35,75,61,7,14,4,0,0,18,8,5,0,8,0,1,18,1,0.295,0.329,0.624,1,0.333,0.267
2015,22,신성현,0.225,64,117,102,17,23,3,0,4,38,17,2,0,13,0,0,44,0,0.373,0.313,0.686,4,0.314,0.308
2015,23,권용관,0.220,116,341,296,32,65,8,1,5,90,22,17,1,18,2,9,86,4,0.304,0.284,0.588,12,0.187,0.000
2015,24,주현상,0.210,103,246,214,18,45,7,0,0,52,12,6,2,21,0,3,46,5,0.243,0.288,0.531,13,0.208,0.286
2015,25,김회성,0.209,83,268,225,36,47,10,2,16,109,35,3,2,28,0,10,58,4,0.484,0.321,0.805,10,0.128,0.182
