연도,순위,이름,ERA,경기수,승리,패배,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타,3루타,희생타,희생플라이,고의사구,폭투,보크
2015,1,구본범,0.00,3,0,0,0,0,-,1,0,0,2,0,1,0,0,2.00,0,0,0,0,6,28,0.000,0,0,0,0,0,1,0
2015,1,마일영,0.00,2,0,0,0,0,-,1/3,0,0,1,1,0,1,0,3.00,0,0,0,0,5,22,0.000,0,0,0,0,0,0,0
2015,1,임경완,-,1,0,0,0,0,-,0,0,0,2,0,0,1,1,-,0,0,0,0,2,12,-,0,0,0,0,0,0,0
2015,1,조이현,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00,0,0,0,0,3,13,0.000,0,0,0,0,0,0,0
2015,1,최설우,0.00,1,0,0,0,0,-,1 1/3,2,0,2,0,1,2,0,3.00,0,0,0,0,8,33,0.333,1,0,0,0,0,0,0
2015,6,윤규진,2.66,40,3,2,10,3,0.600,50 2/3,39,3,21,0,48,15,15,1.18,0,0,0,2,205,848,0.217,6,0,4,0,3,2,0
2015,7,로저스,2.97,10,6,2,0,0,0.750,75 2/3,62,2,20,4,60,26,25,1.08,4,3,6,0,296,1130,0.229,8,2,0,1,0,1,1
2015,8,박정진,3.09,76,6,1,1,15,0.857,96,84,8,39,5,92,37,33,1.28,0,0,0,1,411,1644,0.231,12,1,4,0,3,7,0
2015,9,김용주,3.38,2,1,0,0,0,1.000,8,4,0,6,0,3,3,3,1.25,0,0,0,0,33,113,0.160,1,0,2,0,0,0,0
2015,10,임준섭,3.72,22,1,0,0,2,1.000,19 1/3,26,1,13,0,18,12,8,2.02,0,0,0,0,95,379,0.325,4,2,2,0,2,1,0
2015,11,김기현,4.35,54,1,0,0,3,1.000,41 1/3,36,5,30,3,32,20,20,1.60,0,0,0,0,187,726,0.245,6,1,5,2,1,5,0
2015,12,이동걸,4.47,32,2,0,0,0,1.000,44 1/3,58,8,28,4,25,28,22,1.94,0,0,0,0,219,772,0.324,13,0,3,5,3,5,0
2015,13,유먼,4.52,17,4,6,0,0,0.400,91 2/3,96,9,38,4,56,52,46,1.46,0,0,6,0,406,1533,0.278,16,0,16,3,1,3,1
2015,14,탈보트,4.72,30,10,11,0,0,0.476,156 1/3,153,11,85,13,120,93,82,1.52,1,0,15,0,695,2807,0.262,26,1,11,3,4,11,4
2015,15,정대훈,4.75,51,1,1,0,2,0.500,36,44,4,14,5,12,21,19,1.61,0,0,0,1,162,604,0.319,8,1,1,4,3,1,0
2015,16,박성호,4.79,16,0,0,0,1,-,20 2/3,24,2,11,1,12,14,11,1.69,0,0,0,0,96,389,0.289,4,0,1,0,1,1,0
